1;Hwkagmi;Oguyixxogtwsfrqwx;13636.8;32.85;11;2;9321;49;1;1832;9397;1
2;Eymuxpi;Qqrkymssenlxsghqa;10075.5;35.68;12;8;5350;33;7;5946;3710;5
3;Jehdpcp;Vshnavkwhrvhrrdre;19837.5;27.02;21;3;1215;16;10;1583;1698;5
4;Jewthwk;Cklmflnypgiuqenpq;16955.9;41.85;43;1;6415;16;10;9167;373;5
5;Qnydlof;Trvldbenvykrmanxb;12829;32.02;32;2;7666;7;4;67;1132;10
6;Rkpxuil;Cibutepfybjeummhb;19827.2;41.51;37;7;2857;11;6;1285;6969;6
7;Sxjmqov;Ykjdfsmlowfnreiua;13696;36.19;9;9;7903;43;10;4263;7881;4
8;Tyqdofc;Ngurfwjqoqotoapam;18982.5;50.68;1;4;2939;10;9;8690;7501;4
9;Mqkixko;Lgnqcgsobpykbsudd;13782.8;5.34;4;2;7751;32;1;1745;8903;1
10;Vbgrdob;Yudjgimtnrfdenqcc;17229.5;6;7;2;3058;39;2;4719;8150;1
11;Omigtlc;Fwxoboohapwrcvdrw;15168.4;48.36;1;5;930;27;3;8253;1829;2
12;Ergjyhm;Xcnkoqdmjdqoglawh;10391.5;2.17;27;11;8029;2;2;6728;975;6
13;Lpvfdxu;Akiccmtliotgmgwow;12265.4;43.02;27;4;2345;43;8;6585;8903;9
14;Wjkhnlq;Vvgepvcwjcdwgfpoq;19349.3;49;16;9;4177;26;6;5118;7462;6
15;Pxisage;Dmgwwitutiptrreud;13240.9;27.02;23;9;9274;40;2;5128;4166;2
16;Sotojrl;Encbjxokwrpmuxfgm;18732.8;6.17;30;10;8439;44;10;292;414;5
17;Pkimgln;Naciotwcrqhtsktwh;14270.4;11.02;27;4;5625;31;6;2175;1565;7
18;Plburbn;Nryrdlmurvrxtsqfq;11623.6;28.02;43;10;7945;14;7;5413;3995;6
19;Pavigxo;Fhdhnvhtpkdoctybr;16400.7;28.17;37;9;681;42;7;8186;2653;3
20;Afjogoe;Efosdahdpbtwhwjfw;17503.4;18.19;37;1;4552;18;10;6012;5513;8
21;Qinebae;Euehookgasegseavp;19042.6;50.02;10;5;5575;16;8;2760;1194;7
22;Fmygbun;Xwqsaqmwoniuadyxw;18550.8;45;24;8;2617;36;4;2011;8117;7
23;Tgsgdpa;Nhbjsmwkrsrnlduhj;13967.5;9.02;30;1;5135;22;4;4010;7356;3
24;Ocdyrsb;Vtuiodxwkofdqmexa;15780.9;2.53;7;4;1716;32;1;8917;7377;2
25;Knalrkh;Kefbthqcyqavoqhff;16999.4;35.34;12;8;7013;21;10;3113;5599;9
26;Lynimal;Ldtbbnusrcvdvvyin;12895.6;33.19;23;2;2612;39;3;804;2805;9
27;Dyjjypx;Nrxgbfusmrqtgcapd;10190.3;45.02;4;10;3421;2;9;9101;9203;7
28;Voakxpd;Gdvicpmcsjrakeamo;11253;18.34;37;11;7098;39;7;3540;8153;2
29;Grwfoas;Qfoyaqkxwfqltewgd;14477.4;25.17;43;8;3987;23;4;3926;812;10
30;Odpdenj;Puwcpcrmdqhorvkui;11912.5;40.68;44;9;8761;3;3;2117;2204;10
31;Mhctefg;Edmwlrqmotupgmmvp;12810.3;39.85;13;9;5685;4;10;5895;6851;1
32;Fujdplw;Vxjpyqxsrenownjad;14320.6;28.36;2;10;8251;49;9;3773;5120;7
33;Mfkqwbh;Lmhnsjfprtgeqdwjb;17176.6;21.17;44;8;1108;41;4;4614;1796;9
34;Dqkrjoi;Tkiusqysluvegjold;12080.7;21.68;1;4;7323;7;4;5652;1259;8
35;Siuuipu;Xgkaotifsgqrhqnni;18216;8;20;3;8294;26;5;6014;8015;8
36;Fuvpmea;Cxlhhjqklbfgjqsfg;16007.9;25.51;2;4;9977;48;7;9510;3720;3
37;Cyulpjr;Kokaaqdhxwcdqutht;10434.8;46.68;6;1;9335;40;6;4861;5463;7
38;Ekwutbo;Muymijwqleuokiajh;12554.3;27;18;7;9161;44;6;2037;7044;2
39;Nvbtwcs;Lkoickgtfwxqhqnos;11717.7;3.02;18;8;707;40;2;6902;789;9
40;Lmivhcd;Qcownlpoqufpinfln;19946.7;33.53;41;10;3956;21;1;1588;8257;5
41;Uuayxfv;Nyewxfamhyjjmaepn;13321.2;44.51;35;9;3917;50;7;2336;8613;3
42;Vfpwjeu;Ryddhyfsgsirivkdx;12672.9;17.68;21;7;2149;29;3;1165;8391;6
43;Jpbdekj;Kqmvmkasxwisdhaef;18228.9;4.85;7;11;4028;3;9;613;1592;2
44;Fpuyqkh;Yaohkgjvrfwsbnbey;15821;27.34;43;4;4542;36;10;3340;6622;6
45;Kmhhukw;Ftcxfodpqhcddgukx;16559.2;7.36;6;6;185;10;8;4868;5425;6
46;Tryekng;Mujypbrfhttgucwsy;11581.3;41.53;42;4;6337;2;9;7585;8917;10
47;Taxcfjm;Wbvwaqbettlakvshl;14242.4;12.36;27;7;7874;23;3;447;4345;1
48;Mgbovpw;Smngwvhoydkdttdit;12411.5;29.51;13;3;87;19;3;2;3758;1
49;Noebbmf;Qklndwnbelmdumkij;17264.2;35.19;40;5;4874;30;5;1998;7083;6
50;Yscixgy;Oodmxpxsvvsyarbte;12329.2;12;14;1;5900;28;3;535;6655;8
51;Kexvfoc;Obcsunesqjpqeetgc;11287;30.68;45;6;1702;50;1;3578;6712;1
52;Vahoxqs;Muepjirodgwbhcxnx;14444.1;36.85;39;4;5344;2;6;6428;1922;3
53;Nhtihgx;Tgfkdnmfoaaosufrh;14100.8;21.53;25;9;5762;39;2;6083;8643;1
54;Lhihdxw;Exfhrqktpphyxallm;15966.7;47.17;2;5;9848;10;3;6563;8150;2
55;Mloouxf;Ylbiwswnpbifaiahp;16190.8;20.34;9;1;7210;24;8;8314;3126;6
56;Qhxjjnh;Frhgvrfltxutnbeps;13931.1;9.19;38;11;27;36;5;3103;2013;2
57;Berkfhj;Uoadewpboxwjicgun;11379.6;43.02;31;6;2993;9;6;2152;5900;3
58;Wiixsnt;Yhunrqqgeqeiirpbh;15636.6;18.17;23;4;582;50;10;634;2556;1
59;Eylkmpc;Gkpvovjhhghtsttdu;16238.7;10.85;36;5;3054;36;4;9493;1653;9
60;Agkemcx;Ehhmiqdsxwpasuthu;19791.3;12.19;23;4;1209;17;7;1088;8734;3
61;Rgrbeox;Mnqybcyqdvfkaoddx;12090.1;24.34;4;4;410;6;3;9009;2869;1
62;Atnbcbu;Askvqnqjkalsgfofb;17908;4.53;15;7;5223;9;7;7682;193;9
63;Edriqwb;Hkhkondhgjqeqwqbv;12207.2;36.51;40;5;1091;48;3;9583;2549;5
64;Dwlpecs;Nodfhbsqthwxpaxyb;13648.3;3;28;8;5274;37;10;2500;1927;3
65;Ovmiofk;Ysbxfhllondkgvgkx;15825.5;3.51;43;3;5180;33;1;5253;800;3
66;Euvhrod;Jedudyihrmyielixl;16871.2;49.02;31;4;5244;46;1;7550;486;4
67;Prbgxxv;Ujasednrwstyoaemp;10762.4;17.51;38;2;9402;44;2;238;7896;1
68;Extqdnf;Repnltiahekikoupx;19465.2;21.36;21;4;6927;43;3;9919;5128;8
69;Mntapuj;Mxeglcunvpxiapymf;14576.7;22.17;16;9;3592;11;8;4216;1823;7
70;Tcjlgei;Bxykvghiieyltfqky;10999.8;33.19;18;1;9494;30;9;7173;3916;6
71;Kipdpkc;Swegjuunpvujxjwwm;17485.2;19.85;9;11;5316;50;4;1703;5694;5
72;Mhaxprw;Whknqgfhibbfymtpv;14866.4;12.53;4;3;9450;17;3;711;4131;1
