1;Cemvez River;753;169
2;Peuci Pass;216;91
3;Hopru Street;344;569
4;Zardob Square;392;884
5;Ipcuk View;271;876
6;Legki River;642;826
7;Kudel Terrace;897;144
8;Duntuk River;155;397
9;Gutcu Path;696;816
10;Tija Square;863;792
11;Juboj Trail;745;666
12;Senew Point;643;231
13;Wefzo Street;642;509
14;Zoboh Path;275;559
15;Fojac Center;490;141
16;Wifsor Place;189;856
17;Owisap Way;681;16
18;Pawora Manor;426;752
19;Lekpi Glen;63;111
20;Wazi Pass;583;412
21;Warew Street;504;296
22;Nahge Road;395;884
23;Tefdu Terrace;146;872
24;Fanuwu Drive;730;414
25;Posaj Heights;300;55
26;Tawmo Trail;364;365
27;Vakidu Pass;552;663
28;Kitveb Road;775;587
29;Curdec Heights;695;706
30;Cisim Glen;620;524
31;Udis Street;540;443
32;Koiv View;207;506
33;Boped Drive;707;766
34;Juwo Boulevard;563;411
35;Rarov Path;210;422
36;Rikaf Point;196;905
37;Ojouk Pass;885;342
38;Hapoh Highway;790;204
39;Lipdo Square;112;319
40;Vubu Turnpike;744;200
41;Alham Avenue;274;497
42;Uzihu Mill;221;467
43;Hovika Extension;188;54
44;Asaga Street;432;602
45;Zocis Drive;307;722
46;Jemma Loop;14;808
47;Mobded Junction;768;744
48;Hivjom Place;862;51
49;Rafbog Parkway;766;780
50;Lepu Parkway;954;710
51;Avihuv View;191;809
52;Pefupe Pass;130;791
53;Rovke Ridge;221;96
54;Aksu Square;468;560
55;Mumab Path;745;266
56;Kajez Highway;836;202
57;Dicva Parkway;261;172
58;Jehvu Ridge;421;665
59;Vefvom Square;50;575
60;Uteh Path;861;884
61;Fube Lane;958;606
62;Uhehe Pike;437;653
63;Ocomo Turnpike;566;346
64;Feze Way;207;227
65;Acpov Boulevard;137;294
66;Libep Loop;931;499
67;Veej Pike;217;669
68;Jopan Path;771;904
69;Zilug Manor;207;298
70;Mahgak Lane;777;145
71;Docco Lane;697;173
72;Icuej Grove;623;50
73;Feri Loop;103;300
74;Zatju Street;371;157
75;Lohbuj Path;29;211
76;Ogumod Circle;518;380
77;Pebu Highway;157;702
78;Uwize Drive;356;526
79;Ripuk Glen;483;327
80;Bima Pass;808;772
81;Egaji Ridge;821;306
82;Sehu Ridge;245;40
83;Zinik Trail;146;710
84;Anum Path;594;225
85;Cojo Glen;372;338
86;Lupi Square;751;830
87;Mopum Road;16;635
88;Mebku Ridge;448;424
89;Digpa Way;167;586
90;Mobik Court;486;244
91;Upgir Pass;328;502
92;Ziro Square;201;871
93;Sejili Extension;344;102
94;Robib Turnpike;153;290
95;Jelij Path;167;590
96;Muoci Way;776;150
97;Zupci Court;392;149
98;Zemluv Way;128;664
99;Luhzu Court;607;868
100;Ruwos Avenue;688;481
101;Mauh Court;897;883
102;Gabod Mill;531;105
103;Kivo Drive;546;63
104;Dufe Path;691;396
105;Ejvef Way;64;654
106;Tiuvo Heights;778;144
107;Juubu Park;453;292
108;Pide Grove;82;172
109;Butaw River;50;669
110;Umgan Pass;69;855
111;Zohseb River;335;869
112;Hatin Extension;613;421
113;Rogege Key;647;406
114;Joosi Ridge;134;787
115;Wette Boulevard;870;232
116;Ehzok Place;408;834
117;Sadloc Path;189;703
118;Posiz Key;117;42
119;Icmub Heights;315;807
120;Avihij Turnpike;916;670
121;Maseb Parkway;156;795
122;Rikoj Key;282;305
123;Bulki Parkway;449;73
124;Ulken Key;414;130
125;Gonov Terrace;993;386
126;Bazred Way;23;86
127;Dajhi Parkway;826;560
128;Maki Square;796;762
129;Nioda Glen;174;865
130;Jasvi Plaza;19;747
131;Acdav Mill;562;643
132;Belod Pike;128;308
133;Zawla Highway;855;748
134;Jojmo Path;66;229
135;Boovi Trail;44;517
136;Uhik Place;961;778
137;Mido Heights;210;225
138;Ameidu River;304;691
139;Bobsav View;32;469
140;Acevan Ridge;235;732
141;Wihnob Trail;857;608
142;Dois Square;114;616
143;Vokuri Pass;974;819
144;Siaj Key;191;541
145;Leres Drive;32;486
146;Jewut Loop;674;87
147;Zanof Glen;964;404
148;Geppe Way;421;90
149;Inuvu Ridge;595;892
150;Pojpar Heights;129;360
151;Gadsik River;968;579
152;Puswak Ridge;573;384
153;Towi Court;779;843
154;Betcu Parkway;667;668
155;Ozhum Heights;534;88
156;Igpo Loop;161;511
157;Lojar Glen;704;655
158;Ezdoc River;378;209
159;Kaseg Boulevard;369;93
160;Wawjul Point;826;898
161;Boko Mill;417;466
162;Dukli Heights;849;830
163;Cilun Way;957;416
164;Iger Loop;19;392
165;Dacel Pass;247;174
166;Ivugi Place;632;423
167;Fovi Mill;676;86
168;Davu Boulevard;961;497
169;Mumpaf Extension;659;455
170;Nasdes Extension;839;256
171;Fusul Park;787;521
172;Pobro Manor;118;292
173;Wehnoj Mill;408;553
174;Tehco Terrace;35;75
175;Hilub Avenue;797;345
176;Etare Trail;423;445
177;Lumtab Center;677;876
178;Mege Grove;543;838
179;Kotob Court;920;481
180;Tuzuw Loop;371;58
181;Ilifif Path;365;801
182;Hifiz Plaza;176;797
183;Lahu Glen;651;201
184;Agne Boulevard;94;241
185;Runu River;195;680
186;Idnan Path;703;124
187;Cosu Extension;673;484
188;Kepkog Lane;146;708
189;Umara Extension;711;786
190;Dowfoz Extension;965;800
191;Cefal Terrace;289;545
192;Gawaj Highway;26;675
193;Udukif Glen;978;353
194;Buce Terrace;111;875
195;Affom Center;388;176
196;Onco Terrace;308;429
197;Cetla Road;48;6
198;Vabu Grove;395;759
199;Ulocuw Terrace;936;118
200;Asda Court;206;893
201;Ruje Parkway;911;126
202;Zahsiz Road;922;670
203;Rubek Park;718;153
204;Bujeba Court;414;733
205;Zihle Plaza;540;143
206;Baej Point;48;279
207;Omeipu Path;53;108
208;Kela Parkway;63;525
209;Gucwo Place;605;779
210;Dapu Boulevard;822;224
211;Rifu Pass;581;23
212;Zaglah Pike;324;787
213;Ruto River;937;140
214;Ciwe View;894;419
215;Mojron River;45;769
216;Vafa Mill;568;418
217;Farzu Terrace;282;554
218;Dujlu Turnpike;541;414
